"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R22,R4,R31,R1,R28,R40,R19,R25,R16,R37,R7,R34,R10,R13";"R_0402_1005Metric";14;"100";;;
2;"U16,U11,U3,U15,U4,U9,U12,U7,U8,U10,U5,U14,U13,U6";"Texas_DSBGA-6_0.95x1.488mm_Layout2x3_P0.4mm";14;"TMP117xxYBG";;;
3;"R12,R36,R42,R33,R24,R9,R18,R39,R27,R3,R30,R15,R21,R6";"R_0603_1608Metric";14;"10";;;
4;"Q11,Q4,Q9,Q2,Q3,Q13,Q1,Q5,Q7,Q6,Q10,Q12,Q8,Q14";"SOT-23";14;"DMN2075U";;;
5;"R29,R41,R17,R38,R32,R11,R35,R20,R2,R26,R23,R14,R5,R8";"R_0402_1005Metric";14;"10k";;;
6;"C11,C10,C3,C16,C4,C7,C14,C5,C1,C15,C6,C2,C8,C13,C12,C9";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";16;".1uF";;;
7;"J1";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05_Pin";;;
8;"R44,R43";"R_0402_1005Metric";2;"2k";;;
9;"U2";"QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm";1;"PCA9685BS";;;
10;"U1";"Texas_RGE0024C_VQFN-24-1EP_4x4mm_P0.5mm_EP2.1x2.1mm";1;"PCA9548ARGE";;;
